Unnamed: 0,sentiment,content
26876,1,profchandler time start unfollowing people think
7866,1,ismh anything fwd mobileme last week gotten least spam message day
16585,1,getting ready start work week tgif me monday
9408,1,half want go sleep half dosen t shoot half dying sleepiness
3443,1,seems like person postal voting upcoming election already twice get document
15953,0,arm hurt
17720,1,beer amp whiskey awesomness work hour sourness
24864,1,sarahkover that s black market material right there friend
38509,1,hihat go setting ipod iphone home screen amp scroll bottom amp find twitterfon setting
22414,1,jojouk good day
38749,1,prmack community news sometimes accept guest post moment
18441,1,southbel took computer new dvd drive amp screen come back order new computer amp wait
27517,1,filling fmla form soccer amp t ball form working course
6482,1,tommcfly oh no lot people starting tweet again hope could still read multiple tweet philippine tour please
267,0,everytime send email coach feel need practice shitty ball lol
15917,0,bored without camera
36670,1,think daveyboyonline sure looked sexy hat belongs cesyeuxblues
24341,0,mood listen reg stuff sir told me u used huge fan mine seems forgotten song
18769,0,flucio jerk can t go dammit frank suck bad
1796,0,donald jackson already there s none left back cabbage soup
18646,0,long day matinee evening show sad tomorrow last ever welsh college show
19826,1,critic boat dining bone peru double
21236,1,charliefogg lol ok
884,0,feel really weird
38080,1,right glorious day sat inside must go something active good day
12716,1,cool people want find following today english guess english tweet
37525,1,djmoonlight yay dont one lol clothes go draw dont many need place high heel shoe
25223,1,zaroi dammit beat
34468,1,delta yes also use desktop s mouse ketboard ot second monitor http twitpic com wlpf
2911,1,raerobinson handle tg
36177,1,marktesch local dish borrow
11472,0,relaxing day park sun back work tomorrow
19350,0,mr kimbalicious milk have drink think thats whats making feel sick
16047,0,joshjnap honestly incredibly upset make it devestated even would lost whole travel day suck
28730,1,ozdj also swirly flat white
5603,1,gonna go see sister mount saini least another hour
24645,1,maaate grooovin chain uploading video youtube www youtube com sluzzaa go watch
34755,1,bb apparently you
34659,1,myprivatekeri thank
11481,0,mb triste
33197,1,musicsinmysoul http twitpic com wi hmm thats bu tour list but thats cool say
13146,1,well getting through
27748,1,undeniablyfaith post reminded sit something out look like steak dinner
10483,0,ng got it poor thing gonna choice much longer though
21862,1,johnmoi ha good morning may fourth
14927,1,mell e im going dance class
31648,0,joining facebeek loser friend amy you
30203,0,na nkotb lol r loser u drove hour day u need rest day still tired lol
25048,1,going fafsa form today hope help ann arbor detroit metro area computer art design
23833,1,updating latest version adium now great app
24482,1,mobilebomb hope get well soon possible amp back hyper dog
7834,1,cleaning house
6773,0,pairadocsdesign radio x going sport next month radio dead grandrapids
36672,1,going dinnerr soon thai
1,0,layin n bed headache ughhhh waitin call
15509,1,sacramento nice weather sacramento dry hot weather hear raining la
30755,1,level http plurk com p stvri
18191,0,rosegraymusic tuned listen meeting know high school college french cut anymore
7348,0,dis damn usb charger good nothin gotta find verizon store fone dead since last nite
9470,1,realized im going home week today
28507,1,hellojao hi add me shannen
35143,1,cleaned screen new pc do machine took another quot screenshot quot http bit ly qlzp
16523,0,harley passed away december http apps facebook com dogbook profile view
11292,1,deck perfect weather today feeling good tho
7577,1,downside client site donut today
18762,0,heard icecream truck took like shot catch it
19164,0,missed call
21301,0,drinking cordial yes im bored
11797,0,oh zombiepix follow anymore need someone cheer
4823,0,visadharah still disney just trained soarin rose same applied apartment last night eric lost job
19910,0,think world mileycyrus hannah montana set im missing tennessee alot today
27328,1,terremum http chelseavantol etsy com xo
10715,0,stephenjerzak awww didnt pas speech
27222,1,guylainem would nice
16986,0,spanish crap
27311,0,round two vega vanilla chai flavor realized day left
30364,0,niecied nice idea m i l gift crochet it good idea looking online youtube video showing lefty crochet
12292,0,leslie pearlman mow love mow
14975,0,gonna sound really sad amp depressing really really miss uncle sam
22981,1,recording new song
12998,1,ohhh mannnn laid girl economy improve soon
12253,1,wanna session ronnie da bomb u know
